iter,loss,best,lam,force,beta,bit32,bit64,bit96,bit128,bit192,bit256,ex32,ex64,ex96,ex128,ex192,ex256,bit_test,exact_test,bit_s9,bit_s17,exact_s9,exact_s17,age,secs
0,0.016806,0.016806,0.000,12.00,0.351,0.6125,0.5437,0.4938,0.4688,0.4625,0.4625,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.4875,0.0000,0.4826,0.5414,0.0000,0.0000,1,0
100,0.017075,0.016806,-0.041,14.47,0.270,0.4688,0.4437,0.4437,0.4437,0.4437,0.4437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4938,0.0000,0.4826,0.5414,0.0000,0.0000,41,34
200,0.016984,0.016773,0.000,19.27,0.291,0.4625,0.5500,0.5625,0.5625,0.5625,0.5625,0.0312,0.0312,0.0312,0.0312,0.0312,0.0312,0.5312,0.0000,0.4826,0.5414,0.0000,0.0000,42,55
300,0.016112,0.015185,0.000,21.42,0.323,0.4500,0.4875,0.4938,0.5062,0.5938,0.4875,0.0312,0.0938,0.0625,0.0625,0.0938,0.0625,0.5125,0.0312,0.4826,0.5414,0.0000,0.0000,39,76
400,0.015843,0.014975,0.000,22.58,0.340,0.5000,0.4562,0.4188,0.4625,0.4625,0.4875,0.0312,0.0312,0.0312,0.0625,0.0625,0.0625,0.5125,0.0312,0.4826,0.5414,0.0000,0.0000,39,97
500,0.015683,0.012820,0.000,25.92,0.390,0.5188,0.4750,0.5125,0.5625,0.5437,0.5437,0.0938,0.1250,0.0938,0.1562,0.0312,0.0312,0.5312,0.0625,0.4965,0.4761,0.0000,0.0000,40,120
600,0.015026,0.012820,0.000,28.85,0.435,0.5563,0.5375,0.5687,0.5188,0.5563,0.5437,0.0312,0.0312,0.0312,0.0625,0.0312,0.0000,0.5625,0.0000,0.4965,0.4761,0.0000,0.0000,39,156
700,0.014714,0.012820,0.000,29.69,0.445,0.5750,0.5750,0.6188,0.6062,0.5750,0.4938,0.0938,0.0625,0.0625,0.0625,0.0625,0.0312,0.5563,0.0000,0.4965,0.4761,0.0000,0.0000,38,181
800,0.014913,0.012820,0.000,30.70,0.461,0.5625,0.5375,0.5938,0.5062,0.5188,0.5625,0.0938,0.0625,0.0312,0.0625,0.1250,0.0312,0.6000,0.0938,0.4965,0.4761,0.0000,0.0000,36,205
900,0.013879,0.012820,0.000,31.07,0.469,0.5750,0.5250,0.5062,0.5437,0.4813,0.4938,0.0938,0.0000,0.0312,0.1250,0.0625,0.0312,0.5625,0.0938,0.4965,0.4761,0.0000,0.0000,38,232
1000,0.013948,0.012052,0.000,31.93,0.484,0.4875,0.5125,0.5125,0.4938,0.4750,0.5250,0.0312,0.0312,0.0000,0.0000,0.0312,0.0312,0.5250,0.0000,0.4705,0.4862,0.0000,0.0000,45,254
1100,0.015925,0.012052,0.000,31.73,0.481,0.5000,0.4625,0.5000,0.5062,0.4375,0.4688,0.0312,0.0312,0.0625,0.0312,0.0000,0.0312,0.5000,0.0000,0.4705,0.4862,0.0000,0.0000,36,315
1200,0.014716,0.012052,0.000,31.99,0.485,0.5437,0.5375,0.5375,0.5687,0.4938,0.4437,0.0938,0.0312,0.0938,0.0625,0.0312,0.0312,0.5437,0.0000,0.4705,0.4862,0.0000,0.0000,37,353
1300,0.015283,0.012052,0.000,32.14,0.488,0.5188,0.5375,0.4437,0.4375,0.5437,0.5750,0.0625,0.0938,0.0312,0.0312,0.0312,0.0938,0.5312,0.0000,0.4705,0.4862,0.0000,0.0000,40,382
