iter,loss,best,lam,force,beta,bit32,bit64,bit96,bit128,bit192,bit256,ex32,ex64,ex96,ex128,ex192,ex256,bit_test,exact_test,bit_s9,bit_s17,exact_s9,exact_s17,age,secs
0,0.016923,0.016923,0.000,12.00,0.351,0.1750,0.1812,0.2250,0.2188,0.2188,0.2562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3250,0.0000,0.2795,0.3070,0.0000,0.0000,1,0
100,0.016629,0.016156,0.056,16.20,0.460,0.8187,0.8187,0.8187,0.8187,0.8187,0.8187,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.7562,0.2188,0.2795,0.3070,0.0000,0.0000,41,36
200,0.018001,0.012885,0.000,19.55,0.554,0.8187,0.8187,0.8187,0.5625,0.3688,0.2625,0.2812,0.2812,0.2812,0.1562,0.0625,0.0312,0.2437,0.0000,0.2795,0.3070,0.0000,0.0000,42,58
300,0.015178,0.012031,0.000,18.84,0.547,0.8187,0.8187,0.8187,0.8000,0.4688,0.2750,0.2812,0.2812,0.2812,0.2812,0.1562,0.0625,0.2938,0.0000,0.2795,0.3070,0.0000,0.0000,39,79
400,0.014765,0.012031,0.000,18.61,0.544,0.8187,0.8187,0.8187,0.8187,0.5375,0.3312,0.2812,0.2812,0.2812,0.2812,0.1562,0.0938,0.3187,0.0312,0.2795,0.3070,0.0000,0.0000,39,101
500,0.013409,0.012031,0.485,19.68,0.579,0.8187,0.8187,0.8187,0.8000,0.7375,0.7000,0.2812,0.2812,0.2812,0.2500,0.0312,0.0312,0.6625,0.0000,0.6719,0.6939,0.0312,0.0000,40,122
600,0.013047,0.012031,0.000,19.70,0.583,0.8187,0.8187,0.8187,0.8187,0.7562,0.4437,0.2812,0.2812,0.2812,0.2812,0.2188,0.0312,0.3563,0.0312,0.6719,0.6939,0.0312,0.0000,39,155
700,0.013108,0.012031,0.605,20.43,0.600,0.8187,0.8187,0.8187,0.8313,0.7500,0.7312,0.2812,0.2812,0.2812,0.3750,0.2188,0.1562,0.7375,0.1875,0.6719,0.6939,0.0312,0.0000,38,175
800,0.012720,0.012020,0.000,20.88,0.624,0.8187,0.8187,0.8375,0.8000,0.5375,0.3063,0.2812,0.2812,0.3750,0.3125,0.1250,0.0625,0.2812,0.0000,0.6719,0.6939,0.0312,0.0000,36,196
900,0.014475,0.011838,0.000,21.92,0.681,0.8187,0.8187,0.8250,0.8063,0.7812,0.7312,0.2812,0.2812,0.3125,0.2188,0.2188,0.1875,0.7188,0.1562,0.6719,0.6939,0.0312,0.0000,38,219
1000,0.013148,0.011681,0.759,22.16,0.709,0.8250,0.8187,0.8187,0.8187,0.3688,0.2125,0.2812,0.2812,0.2812,0.2812,0.0938,0.0312,0.2375,0.0000,0.2830,0.2426,0.0000,0.0000,45,242
1100,0.013411,0.011681,0.000,22.85,0.731,0.8313,0.8250,0.8250,0.8313,0.7125,0.4188,0.3438,0.3125,0.2812,0.2812,0.2500,0.1250,0.4188,0.1562,0.2830,0.2426,0.0000,0.0000,36,276
1200,0.012752,0.011681,0.536,23.99,0.794,0.8313,0.8250,0.8250,0.8375,0.8375,0.8187,0.4062,0.3125,0.2812,0.2812,0.2812,0.2812,0.7875,0.2500,0.2830,0.2426,0.0000,0.0000,37,298
1300,0.012805,0.011681,0.000,24.18,0.801,0.8500,0.8313,0.8313,0.8375,0.8063,0.8000,0.4375,0.3750,0.3125,0.3125,0.2812,0.2500,0.7812,0.2500,0.2830,0.2426,0.0000,0.0000,40,320
1400,0.012778,0.011633,0.930,24.97,0.832,0.8500,0.8250,0.8313,0.8313,0.8000,0.8063,0.3750,0.2812,0.2812,0.2812,0.2812,0.2812,0.7312,0.2500,0.2830,0.2426,0.0000,0.0000,45,341
1500,0.013619,0.011578,0.000,26.11,0.871,0.8375,0.8187,0.8187,0.8187,0.8187,0.8000,0.3125,0.2812,0.2812,0.2812,0.2812,0.2812,0.7625,0.2500,0.7500,0.7243,0.1250,0.0000,37,363
1600,0.012501,0.011578,0.000,26.46,0.877,0.8375,0.8187,0.8187,0.8313,0.7688,0.7063,0.3125,0.2812,0.2812,0.2812,0.2188,0.2188,0.6813,0.1562,0.7500,0.7243,0.1250,0.0000,40,396
