iter,loss,best,lam,force,beta,bit32,bit64,bit96,bit128,bit192,bit256,ex32,ex64,ex96,ex128,ex192,ex256,bit_test,exact_test,bit_s9,bit_s17,exact_s9,exact_s17,age,secs
0,0.017048,0.017048,0.000,12.00,0.351,0.1875,0.2500,0.2875,0.2812,0.2938,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3312,0.0000,0.3542,0.3649,0.0000,0.0000,1,0
100,0.016673,0.016475,0.063,16.20,0.465,0.6062,0.6062,0.6062,0.6062,0.6062,0.6062,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.5750,0.0312,0.3542,0.3649,0.0000,0.0000,41,37
200,0.013045,0.013045,0.000,18.45,0.529,0.8562,0.7438,0.5500,0.4562,0.3688,0.3125,0.4375,0.3438,0.0625,0.0312,0.0312,0.0000,0.4062,0.0000,0.3542,0.3649,0.0000,0.0000,42,58
300,0.005956,0.005956,0.000,20.20,0.581,1.0000,1.0000,0.7875,0.6687,0.6687,0.5875,1.0000,1.0000,0.0938,0.1250,0.1875,0.0625,0.5625,0.0625,0.3542,0.3649,0.0000,0.0000,39,79
400,0.004814,0.003850,0.000,20.46,0.583,1.0000,1.0000,1.0000,0.9500,0.7875,0.7438,1.0000,1.0000,1.0000,0.7812,0.3750,0.2812,0.7063,0.0938,0.3542,0.3649,0.0000,0.0000,39,101
500,0.003227,0.002936,-0.693,20.83,0.593,1.0000,1.0000,1.0000,1.0000,0.5687,0.4375,1.0000,1.0000,1.0000,1.0000,0.0938,0.0000,0.4313,0.0000,0.5347,0.5257,0.0000,0.0000,40,124
600,0.002781,0.002325,0.000,21.26,0.606,1.0000,1.0000,1.0000,1.0000,0.8812,0.5188,1.0000,1.0000,1.0000,1.0000,0.6250,0.0000,0.4813,0.0000,0.5347,0.5257,0.0000,0.0000,39,160
700,0.001914,0.001842,0.066,22.05,0.621,1.0000,1.0000,1.0000,1.0000,1.0000,0.9688,1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,0.9437,0.7188,0.5347,0.5257,0.0000,0.0000,38,184
800,0.001832,0.001526,0.000,22.92,0.634,1.0000,1.0000,1.0000,1.0000,1.0000,0.9437,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,0.9563,0.7812,0.5347,0.5257,0.0000,0.0000,36,209
900,0.001282,0.001174,0.000,24.05,0.665,1.0000,1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,1.0000,1.0000,1.0000,1.0000,0.7812,0.9313,0.6562,0.5347,0.5257,0.0000,0.0000,38,235
1000,0.001023,0.000818,1.280,26.31,0.715,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,45,258
