iter,loss,lam,force,beta,acc32,acc64,acc96,acc128,acc192,acc256,acc_test,age,secs
0,0.028854,-0.036,12.00,0.351,0.0938,0.0938,0.0938,0.1250,0.1250,0.1250,0.1250,1,1
100,0.018349,-0.048,15.62,0.465,0.0625,0.0625,0.0625,0.0781,0.0781,0.0781,0.0781,58,84
200,0.030813,-0.110,16.69,0.488,0.1094,0.1094,0.0781,0.0938,0.1094,0.0938,0.0938,44,168
300,0.018935,-0.074,17.83,0.524,0.1094,0.0938,0.0938,0.0938,0.0781,0.0781,0.0781,46,250
400,0.021767,-0.098,19.34,0.569,0.1562,0.1875,0.2031,0.2344,0.2344,0.2188,0.2188,54,332
500,0.016731,-0.053,20.53,0.607,0.2656,0.2656,0.2812,0.2344,0.1875,0.1875,0.1875,50,414
600,0.017569,-0.051,21.46,0.625,0.2344,0.1875,0.2031,0.2031,0.1250,0.1250,0.1250,54,497
700,0.022644,0.024,22.37,0.642,0.2969,0.2500,0.2188,0.2344,0.2031,0.1875,0.1875,50,580
800,0.017419,-0.048,24.69,0.709,0.3594,0.3125,0.3125,0.2969,0.2969,0.2969,0.2969,51,663
900,0.014794,0.087,24.94,0.697,0.3594,0.3125,0.3125,0.2812,0.2812,0.2969,0.2969,45,746
1000,0.014929,-0.029,26.25,0.721,0.3438,0.3125,0.2969,0.2812,0.2969,0.2812,0.2812,51,829
1100,0.018535,0.065,27.56,0.767,0.2812,0.2500,0.2031,0.2031,0.1875,0.1875,0.1875,52,911
1200,0.015016,0.130,29.37,0.803,0.2969,0.2812,0.2812,0.2656,0.2500,0.2188,0.2188,54,994
1300,0.015094,0.090,30.05,0.822,0.2656,0.2656,0.2656,0.2656,0.2500,0.2188,0.2188,50,1076
1400,0.014847,0.129,30.80,0.847,0.3594,0.3281,0.2969,0.3281,0.3125,0.3438,0.3438,46,1159
1500,0.013151,0.000,31.58,0.863,0.4219,0.3594,0.3438,0.3438,0.3750,0.3594,0.3594,55,1242
1600,0.021630,0.354,33.33,0.888,0.3594,0.3438,0.3750,0.3906,0.3750,0.3281,0.3281,56,1324
1700,0.018436,0.108,33.34,0.892,0.4062,0.3750,0.3906,0.3906,0.3281,0.3125,0.3125,53,1408
1800,0.014135,0.101,33.97,0.917,0.4375,0.4062,0.3594,0.3750,0.3906,0.4062,0.4062,54,1490
1900,0.012369,0.002,34.79,0.949,0.4062,0.3906,0.4062,0.4062,0.4062,0.4062,0.4062,51,1573
2000,0.015620,0.063,35.46,0.956,0.3125,0.4375,0.4219,0.4375,0.4219,0.4375,0.4375,56,1656
2100,0.019663,0.269,35.23,0.939,0.3906,0.4062,0.4062,0.3906,0.3750,0.3750,0.3750,51,1738
2200,0.012640,0.033,36.52,0.971,0.2812,0.3594,0.3594,0.3594,0.3750,0.3906,0.3906,52,1821
2300,0.016547,0.114,36.04,0.931,0.3281,0.3438,0.3750,0.3906,0.3750,0.4062,0.4062,52,1904
2400,0.009626,0.128,37.70,0.948,0.2969,0.3125,0.3281,0.3125,0.3750,0.3750,0.3750,56,1987
2500,0.018652,0.000,38.73,0.958,0.4219,0.4219,0.4062,0.3594,0.3906,0.4062,0.4062,50,2069
2600,0.017346,0.091,39.14,0.994,0.4844,0.5625,0.5781,0.5938,0.5469,0.5312,0.5312,55,2152
2700,0.016897,0.224,38.16,0.947,0.4688,0.5000,0.5000,0.4844,0.5156,0.5469,0.5469,56,2233
2800,0.020912,0.138,39.81,0.970,0.4688,0.5156,0.5312,0.5469,0.5469,0.5469,0.5469,57,2319
2900,0.015352,0.000,39.57,0.963,0.4688,0.4688,0.5000,0.5000,0.5312,0.5469,0.5469,57,2406
3000,0.015120,0.249,39.22,0.987,0.4688,0.5156,0.4844,0.4375,0.5000,0.4688,0.4688,52,2493
3100,0.021964,0.282,39.47,1.000,0.4375,0.4844,0.4844,0.5156,0.4688,0.5156,0.5156,48,2577
3200,0.017368,0.179,38.44,1.018,0.4219,0.4531,0.4844,0.4844,0.4688,0.4844,0.4844,45,2662
3300,0.018849,0.223,39.44,1.079,0.4062,0.4062,0.3906,0.4062,0.3906,0.3750,0.3750,50,2746
3300,0.008993,0.325,39.48,1.080,0.4609,0.4453,0.4375,0.4219,0.4453,0.4453,0.4453,51,1
