iter,loss,best,lam,force,beta,h16,h32,h64,h128,h256,h512,age,secs
0,0.072987,0.072987,0.484,28.97,0.579,0.098802,0.085379,0.060334,0.043824,0.047779,0.106763,2,15
25,0.072547,0.055559,0.000,29.10,0.581,0.112208,0.093097,0.098011,0.051826,0.048388,0.048978,26,283
50,0.144226,0.055559,0.420,29.14,0.582,0.109232,0.103062,0.128005,0.096467,0.101954,0.110080,44,544
75,0.065402,0.055559,0.000,29.13,0.582,0.106376,0.101310,0.096681,0.047798,0.046636,0.119573,56,801
100,0.079039,0.042928,0.726,29.10,0.581,0.111378,0.110446,0.068113,0.050123,0.049800,0.088689,64,1059
125,0.068951,0.042928,0.000,29.09,0.581,0.105468,0.086535,0.114836,0.086014,0.068124,0.096695,78,1315
150,0.072856,0.042928,0.365,29.12,0.582,0.118161,0.075698,0.072789,0.050368,0.066484,0.066161,80,1570
175,0.066494,0.042928,0.000,29.19,0.583,0.127033,0.083558,0.087962,0.122695,0.045299,0.017652,88,1820
200,0.074685,0.042928,0.592,29.24,0.584,0.118242,0.095932,0.089874,0.045352,0.064755,0.244306,90,2075
225,0.092041,0.042928,0.000,29.31,0.586,0.131288,0.089561,0.096291,0.072701,0.028219,0.053349,90,2329
250,0.109403,0.042928,0.490,29.33,0.586,0.141939,0.105084,0.089304,0.080666,0.030280,0.020465,92,2583
250,0.080850,0.080850,0.933,29.33,0.586,0.135346,0.113317,0.141167,0.058486,0.042658,0.019176,94,23
300,0.061903,0.038395,0.397,29.14,0.582,0.122143,0.102480,0.096138,0.049688,0.059009,0.019889,164,775
350,0.091884,0.037425,0.000,29.19,0.583,0.117856,0.114787,0.104787,0.103695,0.077883,0.130211,221,1548
400,0.100997,0.024043,0.405,29.06,0.581,0.099412,0.085448,0.145609,0.095450,0.095132,0.074280,285,2323
