iter,loss,best,lam,force,beta,h16,h32,h64,h128,h256,h512,age,secs
0,0.008099,0.008099,0.269,12.00,0.351,0.008487,0.008213,0.007905,0.007622,0.007508,0.007774,1,13
25,0.007858,0.007589,0.000,12.91,0.377,0.008444,0.008142,0.007801,0.007508,0.007425,0.007757,36,235
50,0.007610,0.007445,0.288,13.93,0.406,0.008354,0.007991,0.007581,0.007246,0.007183,0.007597,66,487
75,0.007140,0.007117,0.000,15.02,0.437,0.008218,0.007762,0.007242,0.006809,0.006648,0.007045,94,742
100,0.006943,0.006733,0.245,16.20,0.471,0.008038,0.007447,0.006814,0.006905,0.009007,0.009703,115,990
125,0.006574,0.006518,0.000,16.83,0.491,0.007924,0.007232,0.006571,0.008461,0.013699,0.013995,138,1228
150,0.006286,0.006257,0.218,17.02,0.497,0.007910,0.007198,0.006336,0.006334,0.007887,0.009871,156,1459
175,0.006460,0.005714,0.000,17.41,0.508,0.007885,0.007160,0.006209,0.005597,0.006179,0.008881,180,1688
200,0.006008,0.005467,0.132,18.17,0.532,0.007785,0.006972,0.005920,0.005681,0.006539,0.010766,188,1908
225,0.005484,0.005421,0.000,18.60,0.546,0.007765,0.006947,0.005829,0.005234,0.005659,0.011131,197,2129
250,0.005399,0.005252,0.043,19.15,0.562,0.007718,0.006869,0.005707,0.005096,0.005366,0.009598,200,2346
275,0.005205,0.005072,0.000,19.71,0.578,0.007666,0.006794,0.005589,0.004832,0.005307,0.010018,209,2567
300,0.005534,0.004802,0.354,19.87,0.583,0.007659,0.006790,0.005560,0.004689,0.004949,0.007921,221,2788
325,0.005124,0.004646,0.000,20.16,0.592,0.007645,0.006777,0.005536,0.004582,0.004680,0.006897,236,3010
350,0.004948,0.004519,0.055,20.63,0.604,0.007623,0.006739,0.005459,0.004485,0.004478,0.006046,241,3237
375,0.004622,0.004297,0.000,21.12,0.620,0.007567,0.006639,0.005308,0.004350,0.004309,0.006324,250,3463
400,0.005307,0.004167,0.226,21.95,0.644,0.007461,0.006440,0.005088,0.004333,0.004415,0.007290,231,3680
425,0.004533,0.004116,0.000,22.56,0.659,0.007402,0.006339,0.004976,0.004141,0.004411,0.008297,226,3899
450,0.004425,0.004079,0.067,22.88,0.664,0.007382,0.006326,0.004934,0.004038,0.004190,0.006475,232,4115
475,0.004388,0.003955,0.000,23.24,0.676,0.007303,0.006193,0.004844,0.004003,0.004021,0.005992,202,4337
500,0.004696,0.003757,0.167,23.75,0.695,0.007259,0.006140,0.004826,0.003890,0.003966,0.005756,215,4557
525,0.004469,0.003757,0.000,24.45,0.714,0.007169,0.005983,0.004682,0.003784,0.004078,0.006177,215,4774
