iter,loss,best,lam,force,beta,secs
0,0.044660,0.044660,0.076,11.96,0.349,1
100,0.010604,0.010604,-0.052,11.97,0.397,58
200,0.006783,0.006765,-0.041,16.16,0.536,116
300,0.006033,0.005235,-0.052,20.03,0.585,172
400,0.004833,0.004833,0.077,21.63,0.582,228
500,0.004363,0.004363,0.034,23.40,0.617,285
600,0.004072,0.004059,0.129,25.60,0.649,341
700,0.003958,0.003957,0.081,26.11,0.650,400
800,0.004331,0.003880,0.091,26.97,0.659,458
900,0.003824,0.003813,0.139,27.52,0.666,515
1000,0.004381,0.003793,0.134,27.51,0.662,573
1100,0.003776,0.003757,0.239,27.97,0.663,630
1200,0.004322,0.003734,0.112,28.62,0.675,704
1300,0.003732,0.003723,0.102,28.60,0.674,825
