iter,loss,best,lam,force,beta,h16,h32,h64,h128,h256,h512,secs
8520,0.002095,0.001895,0.134,26.82,0.546,0.003203,0.001933,0.001910,0.002114,0.002457,0.005380,22
8560,0.002544,0.001786,0.076,27.15,0.552,0.003098,0.002152,0.003104,0.005604,0.013179,0.020992,66
8600,0.003167,0.001786,0.125,27.51,0.560,0.003063,0.001942,0.001753,0.002244,0.007739,0.018788,109
8640,0.003944,0.001786,0.096,26.66,0.543,0.003411,0.002495,0.003803,0.006730,0.012861,0.023678,153
8680,0.002392,0.001786,0.094,26.71,0.543,0.003406,0.002142,0.002117,0.002569,0.003464,0.008627,196
8720,0.003221,0.001786,0.095,26.84,0.546,0.003500,0.002658,0.004828,0.010314,0.019967,0.027257,239
8800,0.002474,0.001876,0.141,26.87,0.547,0.003453,0.002202,0.002403,0.004404,0.010620,0.022075,86
8900,0.003165,0.001876,0.104,26.05,0.530,0.004043,0.002737,0.003651,0.005959,0.010559,0.020649,192
9000,0.002854,0.001876,0.189,26.08,0.531,0.004360,0.002428,0.002466,0.003372,0.005310,0.013529,297
9100,0.004879,0.001876,0.155,25.83,0.526,0.004420,0.002326,0.002507,0.003894,0.006611,0.011619,401
9200,0.002647,0.001876,0.110,26.18,0.533,0.003745,0.003482,0.007134,0.012903,0.020940,0.026265,509
9300,0.003023,0.001876,0.062,25.18,0.512,0.004354,0.002570,0.003499,0.006720,0.014372,0.020829,618
9400,0.004726,0.001876,0.099,25.28,0.514,0.005447,0.004162,0.007199,0.012504,0.019797,0.026846,723
9500,0.008786,0.001876,0.173,25.10,0.511,0.004714,0.002376,0.002212,0.002588,0.003377,0.006912,830
9600,0.003008,0.001876,0.081,25.26,0.514,0.004948,0.002497,0.002300,0.002412,0.004564,0.010839,936
9600,0.003003,0.003003,0.119,25.26,0.514,0.004658,0.002369,0.002222,0.002201,0.003167,0.007169,1
