iter,loss,best,lam,force,beta,secs
0,0.087000,0.087000,0.149,11.96,0.349,1
100,0.012634,0.012634,-0.105,10.37,0.383,55
200,0.011810,0.011571,-0.114,13.99,0.512,113
300,0.011675,0.011268,-0.082,17.22,0.610,168
400,0.011335,0.011199,0.031,19.90,0.710,222
500,0.011278,0.011064,-0.091,22.63,0.839,278
600,0.011003,0.010990,0.028,23.82,0.871,334
700,0.010924,0.010924,0.057,25.64,0.909,390
800,0.011077,0.010866,-0.041,26.18,0.922,445
900,0.010859,0.010844,0.061,26.79,0.928,502
1000,0.010858,0.010836,0.082,26.99,0.941,557
1100,0.010840,0.010818,0.082,27.23,0.937,612
1200,0.010837,0.010805,-0.076,28.26,0.951,668
1300,0.010989,0.010792,0.001,28.56,0.954,781
