iter,loss,best,lam,force,beta,h16,h32,h64,h128,h256,h512,h1024,age,secs,smear0,rec128,rec256
21200,0.029323,0.029323,0.341,80.14,0.674,0.047366,0.089667,0.031452,0.049179,0.015297,0.023509,0.019499,501,43,0.027874,0.022632,0.022733
21250,0.022043,0.000820,-0.555,77.20,0.649,0.036324,0.077873,0.096874,0.047557,0.051522,0.044055,0.042121,523,1245,0.034282,0.012313,0.015079
21300,0.012139,0.000820,0.265,74.44,0.626,0.035695,0.048717,0.029383,0.014400,0.014134,0.021501,0.022353,565,2477,0.021541,0.023224,0.020450
21350,0.007106,0.000820,0.612,72.78,0.612,0.035940,0.038455,0.022468,0.016383,0.011298,0.010248,0.016425,618,3809,0.010463,0.010988,0.011008
21400,0.016696,0.000820,0.665,69.13,0.581,0.039018,0.028938,0.012503,0.014093,0.020299,0.023742,0.025763,529,5166,0.022571,0.023171,0.022100
21450,0.006506,0.000820,0.214,66.81,0.562,0.035066,0.031166,0.017352,0.011332,0.009833,0.010091,0.013535,562,6526,0.011401,0.010769,0.010880
21500,0.009677,0.000820,0.547,61.42,0.516,0.026270,0.015954,0.008665,0.007093,0.008662,0.008391,0.008453,534,7940,0.008537,0.008790,0.009589
21550,0.005567,0.000820,0.422,57.49,0.483,0.027202,0.016615,0.007801,0.005196,0.006251,0.008267,0.009490,474,9343,0.007820,0.008081,0.008432
21600,0.005572,0.000820,0.839,52.74,0.444,0.017461,0.010464,0.005957,0.004918,0.005623,0.007459,0.008003,547,10629,0.006884,0.006998,0.007454
21650,0.006584,0.000820,0.149,49.29,0.414,0.014124,0.010110,0.006015,0.004490,0.004922,0.005169,0.005616,552,11869,0.005210,0.005071,0.004966
