iter,loss,best,lam,force,beta,h16,h32,h64,h128,secs
0,0.016179,0.016179,-0.059,11.96,0.351,0.015421,0.012310,0.012176,0.013855,3
100,0.007171,0.007008,-0.018,13.37,0.406,0.007359,0.006569,0.008717,0.014354,174
200,0.006933,0.006214,-0.025,13.56,0.410,0.007309,0.006771,0.006989,0.008298,328
300,0.006643,0.006083,-0.034,13.90,0.424,0.006821,0.005679,0.006101,0.008237,497
400,0.006578,0.005603,0.064,14.14,0.421,0.006516,0.007055,0.009209,0.010862,658
500,0.005976,0.005022,0.021,13.98,0.417,0.006029,0.005408,0.006276,0.007249,827
600,0.006253,0.005022,0.074,14.17,0.410,0.006103,0.005402,0.006033,0.008321,999
700,0.005000,0.004322,-0.004,14.62,0.415,0.005395,0.004823,0.006950,0.009586,1170
800,0.004830,0.004322,0.054,14.85,0.420,0.004964,0.004234,0.005333,0.008684,1337
900,0.004966,0.004131,0.009,15.39,0.433,0.005141,0.004811,0.005437,0.010010,1505
1000,0.004588,0.003487,0.038,15.19,0.427,0.004716,0.004136,0.004874,0.010599,1676
1100,0.003813,0.003329,0.080,15.16,0.427,0.004015,0.004963,0.007985,0.017279,1843
1200,0.003453,0.003316,0.030,14.66,0.414,0.003436,0.002923,0.003773,0.006672,2015
1300,0.003160,0.002916,0.108,14.54,0.412,0.003236,0.003610,0.003933,0.005226,2190
1400,0.002977,0.002615,0.101,14.74,0.410,0.003043,0.002785,0.002948,0.005164,2366
