iter,loss,best,lam,force,beta,h16,h32,h64,h128,h256,h512,age,secs
0,0.013312,0.013312,-0.071,11.96,0.351,0.015976,0.012524,0.012172,0.013788,0.016215,0.018496,1,1
100,0.006762,0.006762,-0.039,12.63,0.390,0.009347,0.006609,0.006899,0.010013,0.015471,0.018564,74,117
200,0.008803,0.006762,-0.040,13.04,0.386,0.009253,0.006370,0.007756,0.011973,0.016036,0.018663,125,233
300,0.011864,0.006720,-0.008,13.15,0.390,0.009855,0.006400,0.007020,0.010173,0.015323,0.018536,177,346
400,0.012430,0.006720,0.003,13.64,0.408,0.010848,0.005992,0.007217,0.010222,0.015073,0.018501,227,460
500,0.011120,0.006720,0.018,13.93,0.403,0.009874,0.005515,0.006516,0.007547,0.011619,0.017803,280,572
600,0.011957,0.006720,0.047,13.88,0.411,0.011905,0.004858,0.006051,0.008453,0.013637,0.018211,325,688
700,0.005455,0.005156,0.054,14.04,0.411,0.014873,0.004282,0.005549,0.008308,0.014288,0.018254,331,802
800,0.012556,0.004896,-0.002,13.81,0.403,0.016918,0.005668,0.008407,0.012039,0.015836,0.018290,293,918
900,0.013118,0.004896,0.066,13.66,0.396,0.017568,0.005922,0.007644,0.012366,0.015486,0.018441,295,1035
1000,0.009516,0.004854,0.088,13.74,0.392,0.020991,0.003628,0.004548,0.006316,0.009395,0.014866,328,1153
1100,0.012001,0.004037,0.069,13.43,0.389,0.022505,0.004275,0.005041,0.006005,0.008974,0.015857,315,1270
1200,0.009296,0.003887,0.080,13.05,0.389,0.021864,0.003535,0.004736,0.005310,0.008366,0.016060,335,1388
1300,0.004801,0.003871,0.073,12.68,0.390,0.021328,0.003805,0.004897,0.005949,0.010170,0.017043,303,1505
1400,0.011464,0.003871,0.103,12.93,0.386,0.021806,0.003072,0.004368,0.007020,0.010352,0.016076,296,1622
1500,0.011035,0.003602,0.064,12.84,0.380,0.021354,0.003015,0.004270,0.008748,0.012763,0.017288,249,1739
1600,0.004227,0.003572,0.082,12.89,0.382,0.021594,0.003411,0.004093,0.006089,0.010021,0.016054,266,1862
1700,0.004103,0.003572,0.094,12.90,0.385,0.021118,0.003002,0.005366,0.008380,0.011845,0.015832,256,1984
1800,0.005733,0.003572,0.040,12.84,0.381,0.022356,0.003323,0.004632,0.006553,0.010499,0.012808,270,2103
1900,0.010644,0.003572,0.046,13.10,0.378,0.018831,0.003480,0.004443,0.006135,0.009247,0.013197,299,2219
1900,0.006020,0.006020,0.071,13.09,0.378,0.019010,0.003363,0.004399,0.005917,0.008398,0.014003,298,4
2000,0.006281,0.004327,0.086,12.79,0.369,0.016123,0.003206,0.004774,0.006533,0.009640,0.014991,303,190
2100,0.005206,0.003700,0.094,12.73,0.371,0.017049,0.003847,0.004703,0.007353,0.010110,0.013365,332,371
2200,0.009167,0.003700,0.101,13.00,0.364,0.016267,0.003629,0.009203,0.015299,0.021865,0.022868,367,555
