iter,loss,lam,force,beta,acc32,acc64,acc96,acc128,acc192,acc256,acc_test,age,secs
0,0.029356,-0.036,12.00,0.351,0.0625,0.0625,0.0625,0.0625,0.0781,0.0781,0.0781,1,1
100,0.012011,-0.015,16.20,0.471,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,58,85
200,0.008843,-0.017,20.40,0.602,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,44,170
300,0.002764,-0.068,24.43,0.726,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,46,252
400,0.002044,-0.022,26.34,0.779,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,54,335
500,0.001379,0.010,27.30,0.827,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,50,417
600,0.001469,0.015,29.08,0.863,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,54,500
700,0.002002,0.044,30.34,0.875,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,50,583
800,0.002426,-0.033,32.75,0.959,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,51,667
900,0.001280,0.062,34.29,0.978,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,45,749
1000,0.001017,0.034,35.89,0.989,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,51,831
1100,0.001592,0.098,36.61,1.009,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,52,913
1200,0.001684,0.034,38.74,1.095,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,54,997
1300,0.000895,0.056,39.19,1.134,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,50,1081
1400,0.000903,0.078,39.72,1.152,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,46,1164
1500,0.000785,0.000,40.70,1.191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,55,1247
1600,0.001572,0.392,42.05,1.260,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,56,1331
1700,0.000860,0.155,43.49,1.302,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,53,1418
1800,0.000916,0.069,44.20,1.300,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,54,1507
1900,0.001685,-0.072,45.00,1.333,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,51,1591
2000,0.000789,0.007,45.32,1.332,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,56,1675
2100,0.001610,-0.405,44.86,1.292,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,51,1758
2200,0.001176,-0.022,47.96,1.357,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,52,1841
2300,0.000641,-0.002,46.56,1.308,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,52,1925
2400,0.000647,0.049,49.34,1.328,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,56,2009
2500,0.001084,0.000,49.11,1.308,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,50,2092
2600,0.001381,0.019,50.22,1.325,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,55,2175
2700,0.001856,0.069,51.01,1.365,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,56,2258
2800,0.001002,0.064,52.70,1.356,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,57,2340
2900,0.000594,0.000,52.50,1.360,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,57,2424
3000,0.000875,0.128,54.70,1.379,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,52,2506
