iter,loss,best,lam,force,beta,bit32,bit64,bit96,bit128,bit192,bit256,ex32,ex64,ex96,ex128,ex192,ex256,bit_test,exact_test,bit_s9,bit_s17,exact_s9,exact_s17,age,secs
0,0.016889,0.016889,0.000,12.00,0.351,0.5062,0.4688,0.4500,0.4437,0.4437,0.4125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4625,0.0312,0.4705,0.4972,0.0000,0.0000,1,0
100,0.016936,0.016723,0.005,16.20,0.462,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.0938,0.0938,0.0938,0.0938,0.0938,0.0938,0.6375,0.0625,0.4705,0.4972,0.0000,0.0000,41,38
200,0.015561,0.014902,0.000,20.35,0.573,0.5625,0.6250,0.4625,0.4437,0.5125,0.5062,0.0312,0.0938,0.0312,0.0625,0.1250,0.0312,0.5188,0.0625,0.4705,0.4972,0.0000,0.0000,42,75
300,0.015337,0.014902,0.000,19.96,0.561,0.5500,0.5625,0.5563,0.6062,0.4688,0.4688,0.0938,0.1250,0.1250,0.1562,0.0312,0.0312,0.3625,0.0000,0.4705,0.4972,0.0000,0.0000,39,104
400,0.015400,0.014509,0.000,20.69,0.582,0.6188,0.6000,0.5875,0.5750,0.4938,0.6000,0.1250,0.1250,0.0938,0.0312,0.0312,0.0938,0.6000,0.0938,0.4705,0.4972,0.0000,0.0000,39,126
500,0.014621,0.013432,0.000,22.31,0.644,0.5500,0.5750,0.5750,0.5750,0.5813,0.6125,0.0312,0.0312,0.0938,0.0938,0.0938,0.0938,0.6188,0.0625,0.5139,0.5129,0.0000,0.0000,40,147
600,0.014231,0.013432,0.000,23.91,0.718,0.5687,0.5813,0.5563,0.5563,0.5875,0.6000,0.0312,0.0312,0.0312,0.0312,0.0938,0.0938,0.5687,0.0312,0.5139,0.5129,0.0000,0.0000,39,179
700,0.012440,0.009067,0.000,25.42,0.782,0.6125,0.6062,0.5938,0.6000,0.5938,0.6062,0.0938,0.0938,0.0938,0.0938,0.0938,0.0938,0.6062,0.0625,0.5139,0.5129,0.0000,0.0000,38,201
800,0.011538,0.007435,0.000,25.84,0.795,0.5938,0.5750,0.5875,0.6125,0.6000,0.6062,0.0938,0.0938,0.0938,0.0938,0.0938,0.0938,0.5563,0.0000,0.5139,0.5129,0.0000,0.0000,36,222
900,0.009853,0.007435,0.000,26.74,0.818,0.6312,0.6312,0.6375,0.6312,0.6250,0.6000,0.0938,0.0938,0.0938,0.0938,0.0938,0.0938,0.5813,0.0000,0.5139,0.5129,0.0000,0.0000,38,243
1000,0.009454,0.007214,0.000,26.39,0.808,0.6438,0.6375,0.6125,0.5875,0.5938,0.5813,0.0938,0.0938,0.0938,0.0938,0.0938,0.0938,0.5687,0.0312,0.5799,0.5285,0.0000,0.0000,45,265
1100,0.010025,0.007214,-1.386,27.27,0.830,0.6312,0.6312,0.6250,0.6438,0.6438,0.5875,0.0938,0.0938,0.0938,0.0938,0.1250,0.1250,0.5312,0.0312,0.5799,0.5285,0.0000,0.0000,36,297
1200,0.008169,0.007205,0.743,27.32,0.836,0.7000,0.7000,0.7000,0.6813,0.6125,0.6062,0.1250,0.0938,0.1250,0.1875,0.1562,0.0938,0.6000,0.0625,0.5799,0.5285,0.0000,0.0000,37,318
1300,0.007727,0.005808,0.000,28.01,0.862,0.8313,0.8625,0.8313,0.7250,0.6687,0.5188,0.3438,0.4375,0.2812,0.1875,0.1250,0.0312,0.5062,0.0000,0.5799,0.5285,0.0000,0.0000,40,339
